pair,order,kernel,repetitions,total_ms,ms_per_launch
0,AB,k8_baseline,18,146.540131,8.14111838888889
0,AB,k8_no_overlap,18,134.032867,7.446270388888889
1,BA,k8_baseline,18,137.584061,7.643558944444444
1,BA,k8_no_overlap,18,134.029861,7.44610338888889
2,AB,k8_baseline,18,137.623642,7.645757888888888
2,AB,k8_no_overlap,18,134.054565,7.447475833333333
3,BA,k8_baseline,18,137.712128,7.6506737777777785
3,BA,k8_no_overlap,18,134.021637,7.4456465
4,AB,k8_baseline,18,137.689148,7.64939711111111
4,AB,k8_no_overlap,18,134.027618,7.4459787777777775
5,BA,k8_baseline,18,137.596664,7.644259111111111
5,BA,k8_no_overlap,18,134.013916,7.445217555555555
6,AB,k8_baseline,18,137.669952,7.648330666666666
6,AB,k8_no_overlap,18,134.032227,7.4462348333333335
7,BA,k8_baseline,18,137.644806,7.646933666666666
7,BA,k8_no_overlap,18,133.967133,7.442618499999999
8,AB,k8_baseline,18,137.605927,7.644773722222222
8,AB,k8_no_overlap,18,134.061691,7.447871722222222
9,BA,k8_baseline,18,137.614655,7.645258611111111
9,BA,k8_no_overlap,18,134.058716,7.447706444444445
10,AB,k8_baseline,18,137.633026,7.646279222222223
10,AB,k8_no_overlap,18,134.028259,7.446014388888888
11,BA,k8_baseline,18,137.612381,7.645132277777778
11,BA,k8_no_overlap,18,134.013474,7.445193
12,AB,k8_baseline,18,137.684036,7.64911311111111
12,AB,k8_no_overlap,18,134.024902,7.445827888888889
13,BA,k8_baseline,18,137.626083,7.6458935
13,BA,k8_no_overlap,18,133.991684,7.443982444444444
14,AB,k8_baseline,18,137.684479,7.649137722222223
14,AB,k8_no_overlap,18,133.966949,7.442608277777778
15,BA,k8_baseline,18,137.635239,7.646402166666667
15,BA,k8_no_overlap,18,134.0233,7.445738888888889
16,AB,k8_baseline,18,137.681992,7.648999555555556
16,AB,k8_no_overlap,18,134.021637,7.4456465
17,BA,k8_baseline,18,137.645187,7.646954833333333
17,BA,k8_no_overlap,18,134.025116,7.445839777777778
18,AB,k8_baseline,18,137.647202,7.647066777777777
18,AB,k8_no_overlap,18,134.022598,7.445699888888888
19,BA,k8_baseline,18,137.614716,7.645261999999999
19,BA,k8_no_overlap,18,134.032349,7.446241611111112
20,AB,k8_baseline,18,137.675842,7.648657888888888
20,AB,k8_no_overlap,18,134.047516,7.447084222222222
