height,width,attempt,pair,order,kernel,repetitions,total_ms,ms_per_launch,gstencil_per_second
1024,7168,0,0,AB,baseline,22,148.28653,6.740296818181818,1.0889775625608071
1024,7168,0,0,AB,variant,20,152.794022,7.639701100000001,0.9607747612010632
1024,7168,0,1,BA,baseline,22,132.310745,6.014124772727272,1.2204655336193595
1024,7168,0,1,BA,variant,20,148.09021,7.404510500000001,0.991291996952398
1024,7168,0,2,AB,baseline,22,132.236801,6.010763681818182,1.2211479919269976
1024,7168,0,2,AB,variant,20,136.512222,6.825611100000001,1.07536627746049
1024,7168,0,3,BA,baseline,22,132.250626,6.011392090909092,1.221020337552126
1024,7168,0,3,BA,variant,20,136.499878,6.8249939,1.0754635253227112
1024,7168,0,4,AB,baseline,22,132.242783,6.011035590909091,1.22109275331872
1024,7168,0,4,AB,variant,20,136.484344,6.8242172,1.0755859294748122
1024,7168,0,5,BA,baseline,22,132.229187,6.010417590909091,1.2212183078763088
1024,7168,0,5,BA,variant,20,136.485306,6.8242653,1.0755783483388313
1024,7168,0,6,AB,baseline,22,132.258911,6.011768681818182,1.2209438500518122
1024,7168,0,6,AB,variant,20,136.499649,6.82498245,1.0754653295848402
1024,7168,0,7,BA,baseline,22,132.247421,6.0112464090909095,1.221049928829992
1024,7168,0,7,BA,variant,20,136.493637,6.82468185,1.0755126995407118
1024,7168,0,8,AB,baseline,22,132.203079,6.009230863636364,1.221459479018639
1024,7168,0,8,AB,variant,20,136.4953,6.824764999999999,1.075499595956784
1024,7168,0,9,BA,baseline,22,132.233276,6.010603454545454,1.2211805446005892
1024,7168,0,9,BA,variant,20,136.570023,6.828501149999999,1.074911146496622
1024,7168,0,10,AB,baseline,22,132.258087,6.011731227272727,1.2209514568284965
1024,7168,0,10,AB,variant,20,136.480347,6.82401735,1.0756174293724503
1024,7168,0,11,BA,baseline,22,132.303589,6.013799499999999,1.2205315458222379
1024,7168,0,11,BA,variant,20,136.481857,6.8240928499999995,1.0756055290191429
1024,7168,0,12,AB,baseline,22,132.327133,6.014869681818182,1.2203143855614251
1024,7168,0,12,AB,variant,20,136.493668,6.8246834000000005,1.0755124552737494
1024,7168,0,13,BA,baseline,22,132.290207,6.013191227272728,1.2206550103893934
1024,7168,0,13,BA,variant,20,136.491364,6.8245682,1.0755306101270994
1024,7168,0,14,AB,baseline,22,132.311737,6.014169863636363,1.2204563832458795
1024,7168,0,14,AB,variant,20,136.502365,6.82511825,1.0754439309531376
1024,7168,0,15,BA,baseline,22,132.248505,6.011295681818182,1.2210399202622366
1024,7168,0,15,BA,variant,20,136.498337,6.824916849999999,1.075475666784131
1024,7168,0,16,AB,baseline,22,132.263962,6.011998272727272,1.2208972236897002
1024,7168,0,16,AB,variant,20,136.512894,6.8256447,1.075360983849628
1024,7168,0,17,BA,baseline,22,132.339706,6.015441181818182,1.2201984489824997
1024,7168,0,17,BA,variant,20,136.500122,6.8250061,1.075461602884135
1024,7168,0,18,AB,baseline,22,132.206085,6.0093675,1.2214317064150262
1024,7168,0,18,AB,variant,20,136.49881,6.824940499999999,1.075471940011785
1024,7168,0,19,BA,baseline,22,132.287811,6.0130823181818185,1.220677118922166
1024,7168,0,19,BA,variant,20,136.513031,6.825651550000001,1.0753599046526188
1024,7168,0,20,AB,baseline,22,132.211716,6.009623454545454,1.2213796846869456
1024,7168,0,20,AB,variant,20,136.485092,6.824254600000001,1.0755800347777176
2048,7168,0,0,AB,baseline,13,155.53978,11.964598461538461,1.2269583511047784
2048,7168,0,0,AB,variant,11,150.006393,13.636944818181819,1.0764921465713797
2048,7168,0,1,BA,baseline,13,155.542206,11.964785076923077,1.22693921417059
2048,7168,0,1,BA,variant,11,150.003006,13.636636909090909,1.0765164532769431
2048,7168,0,2,AB,baseline,13,155.488571,11.960659307692309,1.2273624406773922
2048,7168,0,2,AB,variant,11,150.070023,13.642729363636363,1.0760357116757422
2048,7168,0,3,BA,baseline,13,155.537369,11.964413,1.2269773703064246
2048,7168,0,3,BA,variant,11,150.00621,13.636928181818183,1.0764934598374292
2048,7168,0,4,AB,baseline,13,155.525345,11.963488076923076,1.2270722305743802
2048,7168,0,4,AB,variant,11,149.991867,13.635624272727274,1.0765963997234596
2048,7168,0,5,BA,baseline,13,155.524857,11.963450538461538,1.227076080835104
2048,7168,0,5,BA,variant,11,149.988892,13.635353818181818,1.0766177538000614
2048,7168,0,6,AB,baseline,13,155.522781,11.963290846153846,1.2270924604929743
2048,7168,0,6,AB,variant,11,149.997116,13.636101454545456,1.0765587253024251
2048,7168,0,7,BA,baseline,13,155.501312,11.961639384615385,1.2272618767358054
2048,7168,0,7,BA,variant,11,149.997177,13.636106999999999,1.0765582874936372
2048,7168,0,8,AB,baseline,13,155.472733,11.959441,1.2274874720315105
2048,7168,0,8,AB,variant,11,149.98822,13.635292727272729,1.0766225774264138
2048,7168,0,9,BA,baseline,13,155.508194,11.96216876923077,1.2272075643808196
